api_name,version,scope,description
forms,v1,https://www.googleapis.com/auth/forms.responses.readonly,See all responses to your Google Forms forms
forms,v1,https://www.googleapis.com/auth/drive.file,"See, edit, create, and delete only the specific Google Drive files you use with this app"
forms,v1,https://www.googleapis.com/auth/forms.body.readonly,See all your Google Forms forms
forms,v1,https://www.googleapis.com/auth/forms.body,"See, edit, create, and delete all your Google Forms forms"
games,v1,https://www.googleapis.com/auth/drive.appdata,"See, create, and delete its own configuration data in your Google Drive"
games,v1,https://www.googleapis.com/auth/games,"Create, edit, and delete your Google Play Games activity"
games,v1,https://www.googleapis.com/auth/androidpublisher,View and manage your Google Play Developer account
gamesConfiguration,v1configuration,https://www.googleapis.com/auth/androidpublisher,View and manage your Google Play Developer account
gamesManagement,v1management,https://www.googleapis.com/auth/games,"Create, edit, and delete your Google Play Games activity"
gkebackup,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
gkehub,v1alpha,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
gkehub,v2alpha,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
gkehub,v1beta,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
gkehub,v1beta1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
gkehub,v2beta,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
gkehub,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
gkehub,v2,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
gkeonprem,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
gmail,v1,https://www.googleapis.com/auth/gmail.addons.current.message.action,View your email messages when you interact with the add-on
gmail,v1,https://www.googleapis.com/auth/gmail.addons.current.message.metadata,View your email message metadata when the add-on is running
gmail,v1,https://www.googleapis.com/auth/gmail.labels,See and edit your email labels
gmail,v1,https://www.googleapis.com/auth/gmail.addons.current.action.compose,Manage drafts and send emails when you interact with the add-on
gmail,v1,https://www.googleapis.com/auth/gmail.metadata,"View your email message metadata such as labels and headers, but not the email body"
gmail,v1,https://www.googleapis.com/auth/gmail.modify,"Read, compose, and send emails from your Gmail account"
gmail,v1,https://www.googleapis.com/auth/gmail.addons.current.message.readonly,View your email messages when the add-on is running
gmail,v1,https://mail.google.com/,"Read, compose, send, and permanently delete all your email from Gmail"
gmail,v1,https://www.googleapis.com/auth/gmail.readonly,View your email messages and settings
gmail,v1,https://www.googleapis.com/auth/gmail.send,Send email on your behalf
gmail,v1,https://www.googleapis.com/auth/gmail.settings.sharing,"Manage your sensitive mail settings, including who can manage your mail"
gmail,v1,https://www.googleapis.com/auth/gmail.insert,Add emails into your Gmail mailbox
gmail,v1,https://www.googleapis.com/auth/gmail.compose,Manage drafts and send emails
gmail,v1,https://www.googleapis.com/auth/gmail.settings.basic,"See, edit, create, or change your email settings and filters in Gmail"
gmailpostmastertools,v1beta1,https://www.googleapis.com/auth/postmaster.readonly,See email traffic metrics for the domains you have registered in Gmail Postmaster Tools
gmailpostmastertools,v1,https://www.googleapis.com/auth/postmaster.readonly,See email traffic metrics for the domains you have registered in Gmail Postmaster Tools
gmailpostmastertools,v2,https://www.googleapis.com/auth/postmaster,"Get email traffic metrics, manage domains, and manage domain users for the domains you have registered with Postmaster Tools"
gmailpostmastertools,v2,https://www.googleapis.com/auth/postmaster.domain,View and manage the domains you have registered with Postmaster Tools
gmailpostmastertools,v2,https://www.googleapis.com/auth/postmaster.traffic.readonly,Get email traffic metrics for the domains you have registered with Postmaster Tools
groupsmigration,v1,https://www.googleapis.com/auth/apps.groups.migration,Upload messages to any Google group in your domain
groupssettings,v1,https://www.googleapis.com/auth/apps.groups.settings,View and manage the settings of a G Suite group
healthcare,v1beta1,https://www.googleapis.com/auth/cloud-healthcare,"Read, write and manage healthcare data"
healthcare,v1beta1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
healthcare,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
healthcare,v1,https://www.googleapis.com/auth/cloud-healthcare,"Read, write and manage healthcare data"
homegraph,v1,https://www.googleapis.com/auth/homegraph,Private Service: https://www.googleapis.com/auth/homegraph
hypercomputecluster,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
iam,v2beta,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
iam,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
iam,v2,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
